variable_ine,valores_ine
NIVEL,1 = adulto
CCAA,01 = andalucía
CCAA,02 = aragón
CCAA,03 = principado de asturias
CCAA,04 = illes balears
CCAA,05 = canarias
CCAA,06 = cantabria
CCAA,07 = castilla y león
CCAA,08 = castilla-la mancha
CCAA,09 = cataluña
CCAA,10 = comunitat valenciana
CCAA,11 = extremadura
CCAA,12 = galicia
CCAA,13 = comunidad de madrid
CCAA,14 = región de murcia
CCAA,15 = comunidad foral de navarra
CCAA,16 = país vasco
CCAA,17 = la rioja
CCAA,18 = ceuta y melilla
PROV,01 álava
PROV,02 albacete
PROV,03 alicante/alacant
PROV,04 almería
PROV,05 ávila
PROV,06 badajoz
PROV,07 balears (illes)
PROV,08 barcelona
PROV,09 burgos
PROV,10 cáceres
PROV,11 cádiz
PROV,12 castellón/castelló
PROV,13 ciudad real
PROV,14 córdoba
PROV,15 coruña (a)
PROV,16 cuenca
PROV,17 girona
PROV,18 granada
PROV,19 guadalajara
PROV,20 guipúzcoa
PROV,21 huelva
PROV,22 huesca
PROV,23 jaén
PROV,24 león
PROV,25 lleida
PROV,26 rioja (la)
PROV,27 lugo
PROV,28 madrid
PROV,29 málaga
PROV,30 murcia
PROV,31 navarra
PROV,32 ourense
PROV,33 asturias
PROV,34 palencia
PROV,35 palmas (las)
PROV,36 pontevedra
PROV,37 salamanca
PROV,38 santa cruz de tenerife
PROV,39 cantabria
PROV,40 segovia
PROV,41 sevilla
PROV,42 soria
PROV,43 tarragona
PROV,44 teruel
PROV,45 toledo
PROV,46 valencia/valència
PROV,47 valladolid
PROV,48 vizcaya
PROV,49 zamora
PROV,50 zaragoza
PROV,51 ceuta
PROV,52 melilla
ESTRATO,0 = municipios de más de 500.000 habitantes
ESTRATO,1 = municipios capital de provincia (excepto los anteriores)
ESTRATO,2 = municipios con más de 100.000 habitantes (excepto los anteriores)
ESTRATO,3 = municipios de 50.001 a 100.000 habitantes (excepto los anteriores)
ESTRATO,4 = municipios de 20.001 a 50.000 habitantes
ESTRATO,5 = municipios de 10.001 a 20.000 habitantes
ESTRATO,6 = municipios hasta 10.000 habitantes
SECCION,0001 a 2236
SECC_DC,0a9
NIDENTIF,Número de hogar (5 dígitos) correlativo y número de persona dentro del
NIDENTIF,Hogar (2 dígitos) correlativo
AÑO,2006
AÑO,2007
TRIM,1 = primer trimestre
TRIM,2 = segundo trimestre
TRIM,3 = tercer trimestre
TRIM,4 = cuarto trimestre
NORDEN,01 a 15
EDAD,016 a 117
SEXO,1 = varón
SEXO,6 = mujer
P3_3,01 a 31
P3_4,01 a 12
P3_5,1890 a 1991
P4,1 = sí
P4,6 = no
P5_0_1,1 = sí
P5_0_1,6 = no
P5_0_2,01 a 15
P5_2,018 a 117
P5_3,1 = varón
P5_3,6 = mujer
P5_4,1 = cónyuge o pareja
P5_4,2 = hijo/a
P5_4,3 = padre/madre
P5_4,4 = hermano/a
P5_4,5 = otros familiares
P5_4,6 = servicios sociales
P5_4,7 = voluntarios
P5_4,8 = otros
A1,1 = sí
A1,6 = no
A1,9 = no consta
A2,1 = sí
A2,6 = no
A2,9 = no consta
A3_1,01 = usted solo
A3_1,02 = usted compartiéndolo con su pareja
A3_1,03 = usted compartiéndolo con otra persona que no es su pareja
A3_1,04 = su pareja sola
A3_1,05 = otra persona de la casa que no es su pareja
A3_1,06 = una persona remunerada por ello
A3_1,07 = otra persona que no reside en el hogar
A3_1,08 = los servicios sociales
A3_1,09 = ninguna persona
A3_1,10 = otra situación
A3_1,99 = no consta
A3_2,01 a 15
A3_2,99 = no consta
A4_1,00 a 24
A4_1,99 = no consta
A4_2,00 a 48
A4_2,99 = no consta
A5,1 = sí
A5,6 = no
A5,9 = no consta
A6_1,01 = usted solo
A6_1,02 = usted compartiéndolo con su pareja
A6_1,03 = usted compartiéndolo con otra persona que no es su pareja
A6_1,04 = su pareja sola
A6_1,05 = otra persona de la casa que no es su pareja
A6_1,06 = una persona remunerada por ello
A6_1,07 = otra persona que no reside en el hogar
A6_1,08 = los servicios sociales
A6_1,09 = ninguna persona
A6_1,10 = otra situación
A6_1,99 = no consta
A6_2,01 a 15
A6_2,99 = no consta
A7_1,00 a 24
A7_1,99 = no consta
A7_2,00 a 48
A7_2,99 = no consta
A8,1 = sí
A8,6 = no
A8,9 = no consta
A9_1,01 = usted solo
A9_1,02 = usted compartiéndolo con su pareja
A9_1,03 = usted compartiéndolo con otra persona que no es su pareja
A9_1,04 = su pareja sola
A9_1,05 = otra persona de la casa que no es su pareja
A9_1,06 = una persona remunerada por ello
A9_1,07 = otra persona que no reside en el hogar
A9_1,08 = los servicios sociales
A9_1,09 = ninguna persona
A9_1,10 = otra situación
A9_1,99 = no consta
A9_2,01 a 15
A9_2,99 = no consta
A10_1,00 a 24
A10_1,99 = no consta
A10_2,00 a 48
A10_2,99 = no consta
A11_1,01 = usted solo
A11_1,02 = usted compartiéndolo con su pareja
A11_1,03 = usted compartiéndolo con otra persona que no es su pareja
A11_1,04 = su pareja sola
A11_1,05 = otra persona de la casa que no es su pareja
A11_1,06 = una persona remunerada por ello
A11_1,07 = otra persona que no reside en el hogar
A11_1,08 = los servicios sociales
A11_1,09 = ninguna persona
A11_1,10 = otra situación
A11_1,99 = no consta
A11_2,01 a 15
A11_2,99 = no consta
