variable,longitud,posicion_inicio,posicion_fin,valores_validos
NIVEL,1,1,1,1
CCAA,2,2,3,01 a 18
PROV *,2,4,5,01 a 52
ESTRATO,1,6,6,0 a 6
SECCION,4,7,10,0001 a 2236
SECC_DC,1,11,11,0 a 9
NIDENTIF,7,12,18,
AÑO,4,19,22,"2006, 2007"
TRIM *,1,23,23,1 a 4
NORDEN,2,24,25,01 a 15
EDAD,3,26,28,016 a 117
SEXO,1,29,29,"1,6"
P3_3,2,30,31,01 a 31
P3_4,2,32,33,01 a 12
P3_5,4,34,37,1890 - 1991
P4,1,38,38,"1,6"
P5_0_1,1,39,39,"b, 1,6"
P5_0_2,2,40,41,"b, 01 a 15"
P5_2,3,42,44,"b, 018 a 117"
P5_3,1,45,45,"b, 1,6"
P5_4,1,46,46,"b, 1 a 8"
A1,1,47,47,"1,6,9"
A2,1,48,48,"b, 1,6,9"
A3_1,2,49,50,"b, 01 a 10, 99"
A3_2,2,51,52,"b, 01 a 15, 99"
A4_1,2,53,54,"b, 00 a 24, 99"
A4_2,2,55,56,"b, 00 a 48, 99"
A5,1,57,57,"b, 1,6,9"
A6_1,2,58,59,"b, 01 a 10, 99"
A6_2,2,60,61,"b, 01 a 15, 99"
A7_1,2,62,63,"b, 00 a 24, 99"
A7_2,2,64,65,"b, 00 a 48, 99"
A8,1,66,66,"b, 1,6,9"
A9_1,2,67,68,"b, 01 a 10, 99"
A9_2,2,69,70,"b, 01 a 15, 99"
A10_1,2,71,72,"b, 00 a 24, 99"
A10_2,2,73,74,"b, 00 a 48, 99"
A11_1,2,75,76,"01 a 10, 99"
A11_2,2,77,78,"b, 01 a 15, 99"
A12_1,2,79,80,"b, 00 a 24, 99"
A12_2,2,81,82,"b, 00 a 48, 99"
A13,1,83,83,"1,6,9"
B14,1,84,84,1 a 5
B15_1A,1,85,85,"1,6,9"
B15_1B,1,86,86,"b, 1,6,9"
B15_1C,1,87,87,"b, 1,6,9"
B15_1D,1,88,88,"b, 1,6,9"
B15_2A,1,89,89,"1,6,9"
B15_2B,1,90,90,"b, 1,6,9"
B15_2C,1,91,91,"b, 1,6,9"
B15_2D,1,92,92,"b, 1,6,9"
B15_3A,1,93,93,"1,6,9"
B15_3B,1,94,94,"b, 1,6,9"
B15_3C,1,95,95,"b, 1,6,9"
B15_3D,1,96,96,"b, 1,6,9"
B15_4A,1,97,97,"1,6,9"
B15_4B,1,98,98,"b, 1,6,9"
B15_4C,1,99,99,"b, 1,6,9"
B15_4D,1,100,100,"b, 1,6,9"
B15_5A,1,101,101,"1,6,9"
B15_5B,1,102,102,"b, 1,6,9"
B15_5C,1,103,103,"b, 1,6,9"
B15_5D,1,104,104,"b, 1,6,9"
B15_6A,1,105,105,"1,6,9"
B15_6B,1,106,106,"b, 1,6,9"
B15_6C,1,107,107,"b, 1,6,9"
B15_6D,1,108,108,"b, 1,6,9"
B15_7A,1,109,109,"1,6,9"
B15_7B,1,110,110,"b, 1,6,9"
B15_7C,1,111,111,"b, 1,6,9"
B15_7D,1,112,112,"b, 1,6,9"
B15_8A,1,113,113,"1,6,9"
B15_8B,1,114,114,"b, 1,6,9"
B15_8C,1,115,115,"b, 1,6,9"
B15_8D,1,116,116,"b, 1,6,9"
B15_9A,1,117,117,"1,6,9"
B15_9B,1,118,118,"b, 1,6,9"
B15_9C,1,119,119,"b, 1,6,9"
B15_9D,1,120,120,"b, 1,6,9"
B15_10A,1,121,121,"1,6,9"
B15_10B,1,122,122,"b, 1,6,9"
B15_10C,1,123,123,"b, 1,6,9"
B15_10D,1,124,124,"b, 1,6,9"
B15_11A,1,125,125,"1,6,9"
B15_11B,1,126,126,"b, 1,6,9"
B15_11C,1,127,127,"b, 1,6,9"
B15_11D,1,128,128,"b, 1,6,9"
B15_12A,1,129,129,"1,6,9"
B15_12B,1,130,130,"b, 1,6,9"
B15_12C,1,131,131,"b, 1,6,9"
B15_12D,1,132,132,"b, 1,6,9"
B15_13A,1,133,133,"1,6,9"
B15_13B,1,134,134,"b, 1,6,9"
B15_13C,1,135,135,"b, 1,6,9"
B15_13D,1,136,136,"b, 1,6,9"
B15_14A,1,137,137,"1,6,9"
B15_14B,1,138,138,"b, 1,6,9"
B15_14C,1,139,139,"b, 1,6,9"
B15_14D,1,140,140,"b, 1,6,9"
B15_15A,1,141,141,"1,6,9"
B15_15B,1,142,142,"b, 1,6,9"
B15_15C,1,143,143,"b, 1,6,9"
B15_15D,1,144,144,"b, 1,6,9"
B15_16A,1,145,145,"1,6,9"
B15_16B,1,146,146,"b, 1,6,9"
B15_16C,1,147,147,"b, 1,6,9"
B15_16D,1,148,148,"b, 1,6,9"
B15_17A,1,149,149,"1,6,9"
B15_17B,1,150,150,"b, 1,6,9"
B15_17C,1,151,151,"b, 1,6,9"
B15_17D,1,152,152,"b, 1,6,9"
B15_18A,1,153,153,"1,6,9"
B15_18B,1,154,154,"b, 1,6,9"
B15_18C,1,155,155,"b, 1,6,9"
B15_18D,1,156,156,"b, 1,6,9"
B15_19A,1,157,157,"1,6,9"
B15_19B,1,158,158,"b, 1,6,9"
B15_19C,1,159,159,"b, 1,6,9"
B15_19D,1,160,160,"b, 1,6,9"
B15_20A,1,161,161,"1,6,9"
B15_20B,1,162,162,"b, 1,6,9"
B15_20C,1,163,163,"b, 1,6,9"
B15_20D,1,164,164,"b, 1,6,9"
B15_21A,1,165,165,"1,6,9"
B15_21B,1,166,166,"b, 1,6,9"
B15_21C,1,167,167,"b, 1,6,9"
B15_21D,1,168,168,"b, 1,6,9"
B15_22A,1,169,169,"1,6,9"
B15_22B,1,170,170,"b, 1,6,9"
B15_22C,1,171,171,"b, 1,6,9"
B15_22D,1,172,172,"b, 1,6,9"
B15_23A,1,173,173,"1,6,9"
B15_23B,1,174,174,"b, 1,6,9"
B15_23C,1,175,175,"b, 1,6,9"
B15_23D,1,176,176,"b, 1,6,9"
B15_24A,1,177,177,"1,6,9"
B15_24B,1,178,178,"b, 1,6,9"
B15_24C,1,179,179,"b, 1,6,9"
B15_24D,1,180,180,"b, 1,6,9"
B15_25A,1,181,181,"1,6,9"
B15_25B,1,182,182,"b, 1,6,9"
B15_25C,1,183,183,"b, 1,6,9"
B15_25D,1,184,184,"b, 1,6,9"
B15_26A,1,185,185,"1,6,9"
B15_26B,1,186,186,"b, 1,6,9"
B15_26C,1,187,187,"b, 1,6,9"
B15_26D,1,188,188,"b, 1,6,9"
B15_27A,1,189,189,"1,6,9"
B15_27B,1,190,190,"b, 1,6,9"
B15_27C,1,191,191,"b, 1,6,9"
B15_27D,1,192,192,"b, 1,6,9"
B15_28A,1,193,193,"1,6,9"
B15_28LI,30,194,223,"b, Texto, 99999999"
B15_28B,1,224,224,"b, 1,6,9"
B15_28C,1,225,225,"b, 1,6,9"
B15_28D,1,226,226,"b, 1,6,9"
B15_29A,1,227,227,"1,6,9"
B15_29LI,30,228,257,"b, Texto, 99999999"
B15_29B,1,258,258,"b, 1,6,9"
B15_29C,1,259,259,"b, 1,6,9"
B15_29D,1,260,260,"b, 1,6,9"
B16,1,261,261,"b, 1,6,9"
C17,1,262,262,"1,6"
