variable_ine,valores_ine
NIVEL,0 = hogar
CCAA,01 = andalucía
CCAA,02 = aragón
CCAA,03 = principado de asturias
CCAA,04 = illes balears
CCAA,05 = canarias
CCAA,06 = cantabria
CCAA,07 = castilla y león
CCAA,08 = castilla-la mancha
CCAA,09 = cataluña
CCAA,10 = comunitat valenciana
CCAA,11 = extremadura
CCAA,12 = galicia
CCAA,13 = comunidad de madrid
CCAA,14 = región de murcia
CCAA,15 = comunidad foral de navarra
CCAA,16 = país vasco
CCAA,17 = la rioja
CCAA,18 = ceuta y melilla
PROV,01 álava
PROV,02 albacete
PROV,03 alicante/alacant
PROV,04 almería
PROV,05 ávila
PROV,06 badajoz
PROV,07 balears (illes)
PROV,08 barcelona
PROV,09 burgos
PROV,10 cáceres
PROV,11 cádiz
PROV,12 castellón/castelló
PROV,13 ciudad real
PROV,14 córdoba
PROV,15 coruña (a)
PROV,16 cuenca
PROV,17 girona
PROV,18 granada
PROV,19 guadalajara
PROV,20 guipúzcoa
PROV,21 huelva
PROV,22 huesca
PROV,23 jaén
PROV,24 león
PROV,25 lleida
PROV,26 rioja (la)
PROV,27 lugo
PROV,28 madrid
PROV,29 málaga
PROV,30 murcia
PROV,31 navarra
PROV,32 ourense
PROV,33 asturias
PROV,34 palencia
PROV,35 palmas (las)
PROV,36 pontevedra
PROV,37 salamanca
PROV,38 santa cruz de tenerife
PROV,39 cantabria
PROV,40 segovia
PROV,41 sevilla
PROV,42 soria
PROV,43 tarragona
PROV,44 teruel
PROV,45 toledo
PROV,46 valencia/valència
PROV,47 valladolid
PROV,48 vizcaya
PROV,49 zamora
PROV,50 zaragoza
PROV,51 ceuta
PROV,52 melilla
ESTRATO,0 = municipios de más de 500.000 habitantes
ESTRATO,1 = municipios capital de provincia (excepto los anteriores)
ESTRATO,2 = municipios con más de 100.000 habitantes (excepto los anteriores)
ESTRATO,3 = municipios de 50.001 a 100.000 habitantes (excepto los anteriores)
ESTRATO,4 = municipios de 20.001 a 50.000 habitantes
ESTRATO,5 = municipios de 10.001 a 20.000 habitantes
ESTRATO,6 = municipios hasta 10.000 habitantes
SECCION,0001 a 2236
SECC_DC,0a9
NIDENTIF,Número de hogar (5 dígitos) correlativo y número de persona dentro del
NIDENTIF,Hogar (2 dígitos) correlativo
AÑO,2006
AÑO,2007
TRIM,1 = primer trimestre
TRIM,2 = segundo trimestre
TRIM,3 = tercer trimestre
TRIM,4 = cuarto trimestre
NORDEN,01 a 15 para adultos
NORDEN,51 a 65 para menores
P3_2,00       el informante es una persona no residente en el hogar
P3_2,01 a 15   el informante es un adulto (16 y más años)
A9_1,01 a 15
A9_2,01 a 15
A9_A2,01 a 15
A9_M2,51 a 65
C21,"01 a 15, 51 a 65"
C31,"01 a 15, 51 a 65"
EDAD,De 000 a 117
SEXO,1 = varon
SEXO,6 = mujer
A3,1 = si
A3,6 = no
A4,1 = otra vivienda familiar
A4,2 = un hospital o sanatorio y regresará al hogar antes de 1 año
A4,3 = un establecimiento colectivo y piensa regresar al hogar antes de 1 año
A4,4 = un establecimiento colectivo y no piensa regresar al hogar antes de 1
A4,Año
A5,1 = si
A5,6 = no
A8,1 = si
A8,6 = no
A11,01 = es el adulto/a seleccionado/a
A11,02 = cónyuge o pareja
A11,03 = hijo/a
A11,04 = padre/madre
A11,05 = suegro/a
A11,06 = yerno/nuera
A11,07 = hermano/a
A11,08 = nieto/a
A11,09 = abuelo/a
