variable,longitud,posicion_inicio,posicion_fin,valores_validos
NIVEL,1,1,1,0
CCAA,2,2,3,01 a 18
PROV *,2,4,5,01 a 52
ESTRATO,1,6,6,0 a 6
SECCION,4,7,10,0001 a 2236
SECC_DC,1,11,11,0 a 9
NIDENTIF,7,12,18,NA
AÑO,4,19,22,"2006, 2007"
TRIM *,1,23,23,1 a 4
NORDEN,2,24,25,"01 a 15, 51 a 65"
P3_2,2,26,27,00 a 15
A9_1,2,28,29,01 a 15
A9_2,2,30,31,01 a 15
A9_A2,2,32,33,"b, 01 a 15"
A9_M2,2,34,35,"b, 51 a 65"
C21,2,36,37,"b, 01 a 15, 51 a 65"
C31,2,38,39,"b, 01 a 15, 51 a 65"
EDAD,3,40,42,000 a 117
SEXO,1,43,43,"1,6"
A3,1,44,44,"1,6"
A4,1,45,45,"b, 1 a 4"
A5,1,46,46,"b, 1,6"
A8,1,47,47,"1,6"
A11,2,48,49,"b, 01 a 11"
A12,2,50,51,"b, 00 a 09, 99"
A13,1,52,52,"b, 1,6"
B2,3,53,55,"b, 004 a 894, 999"
B3,1,56,56,"b, 1,2,3, 9"
B4,1,57,57,"b, 1 a 7, 9"
B5,1,58,58,"b, 1 a 5, 9"
B6,1,59,59,"b, 1,6, 9"
C2_1,1,60,60,"b, 1, 0, 9"
C2_2,1,61,61,"b, 1, 0, 9"
C2_3,1,62,62,"b, 1, 0, 9"
C2_4,1,63,63,"b, 1, 0, 9"
C2_5,1,64,64,"b, 1, 0, 9"
C2_6,1,65,65,"b, 1, 0, 9"
C2_7,1,66,66,"b, 1, 0, 9"
C2_8,1,67,67,"b, 1, 0, 9"
C3,1,68,68,"b, 1,6, 9"
C4,1,69,69,"b, 1 a 4, 9"
C5,1,70,70,"b, 1,6, 9"
C6,3,71,73,"b, 001 a 099, 999"
C7,3,74,76,"b, 001 a 980, 999"
C8,1,77,77,"b, 1 a 7, 9"
C9,1,78,78,"b, 1 a 5, 9"
C10,1,79,79,"b, 1,6, 9"
C11,1,80,80,"b, 1,6, 9"
C12,1,81,81,"b, 1 a 6, 9"
C13,1,82,82,"b, 1 a 5, 9"
C14,1,83,83,"b, 1 a 5, 9"
C15,1,84,84,"b, 1 a 8, 9"
C16,2,85,86,"b, 01 a 10, 99"
C17,3,87,89,"b, 001 a 099, 999"
C18,3,90,92,"b, 001 a 980, 999"
C19,1,93,93,"b, 1 a 7, 9"
D1_0_1,1,94,94,"1,6"
D1_0_2,1,95,95,"b, 1 a 9"
D1,2,96,97,"00 a 15, 99"
D2,3,98,100,"001 a 997, 998, 999"
D3_1,1,101,101,"1,2,3, 9"
D3_2,1,102,102,"1,2,3, 9"
D3_3,1,103,103,"1,2,3, 9"
D3_4,1,104,104,"1,2,3, 9"
D3_5,1,105,105,"1,2,3, 9"
D3_6,1,106,106,"1,2,3, 9"
D3_7,1,107,107,"1,2,3, 9"
D3_8,1,108,108,"1,2,3, 9"
E1_1,1,109,109,"1,6, 9"
E1_2,1,110,110,"1,6, 9"
E1_3,1,111,111,"1,6, 9"
E1_4,1,112,112,"1,6, 9"
E1_5,1,113,113,"1,6, 9"
E1_6,1,114,114,"1,6, 9"
E1_7,1,115,115,"1,6, 9"
E1_8,1,116,116,"1,6, 9"
E1_9,1,117,117,"1,6, 9"
E2,2,118,119,"b, 01 a 09, 99"
E3,1,120,120,"b, 1 a 8, 9"
FACTOR,11,121,131,NA
TMUNI,1,132,132,1 a 7
CADULTO,1,133,133,"0,1"
CNIÑO,1,134,134,"0,1"
SPCLASE,1,135,135,"b, 1,6, 9"
