variable,longitud,posicion_inicio,posicion_fin,valores_validos
NIVEL,1,1,1,2
CCAA,2,2,3,01 a 18
PROV *,2,4,5,01 a 52
ESTRATO,1,6,6,0 a 6
SECCION,4,7,10,0001 a 2236
SECC_DC,1,11,11,0 a 9
NIDENTIF,7,12,18,NA
AÑO,4,19,22,"2006, 2007"
TRIM *,1,23,23,1 a 4
NORDEN,2,24,25,51 a 65
EDAD,3,26,28,000 a 015
EDADMES,2,29,30,"b,00 a 11"
SEXO,1,31,31,"1,6"
P3_3,2,32,33,01 a 31
P3_4,2,34,35,01 a 12
P3_5,4,36,39,1990 a 2007
P4_1,2,40,41,1 a 7
P4_0_1,1,42,42,"1,6"
P4_0_2,2,43,44,"b, 01 a 15"
P4_3,3,45,47,"b, 018 a 117"
P4_4,1,48,48,"b, 1,6"
A1,1,49,49,1 a 5
A2_1A,1,50,50,"1,6, 9"
A2_1B,1,51,51,"b, 1,6, 9"
A2_1C,1,52,52,"b, 1,6, 9"
A2_1D,1,53,53,"b, 1,6, 9"
A2_2A,1,54,54,"1,6, 9"
A2_2B,1,55,55,"b, 1,6, 9"
A2_2C,1,56,56,"b, 1,6, 9"
A2_2D,1,57,57,"b, 1,6, 9"
A2_3A,1,58,58,"1,6, 9"
A2_3B,1,59,59,"b, 1,6, 9"
A2_3C,1,60,60,"b, 1,6, 9"
A2_3D,1,61,61,"b, 1,6, 9"
A2_4A,1,62,62,"1,6, 9"
A2_4B,1,63,63,"b, 1,6, 9"
A2_4C,1,64,64,"b, 1,6, 9"
A2_4D,1,65,65,"b, 1,6, 9"
A2_5A,1,66,66,"1,6, 9"
A2_5B,1,67,67,"b, 1,6, 9"
A2_5C,1,68,68,"b, 1,6, 9"
A2_5D,1,69,69,"b, 1,6, 9"
A2_6A,1,70,70,"1,6, 9"
A2_6B,1,71,71,"b, 1,6, 9"
A2_6C,1,72,72,"b, 1,6, 9"
A2_6D,1,73,73,"b, 1,6, 9"
A2_7A,1,74,74,"1,6, 9"
A2_7B,1,75,75,"b, 1,6, 9"
A2_7C,1,76,76,"b, 1,6, 9"
A2_7D,1,77,77,"b, 1,6, 9"
A2_8A,1,78,78,"1,6, 9"
A2_8LIT,30,79,108,"b, Texto, 999999"
A2_8B,1,109,109,"b, 1,6, 9"
A2_8C,1,110,110,"b, 1,6, 9"
A2_8D,1,111,111,"b, 1,6, 9"
A2_9A,1,112,112,"1,6, 9"
A2_9LIT,30,113,142,"b, Texto, 999999"
A2_9B,1,143,143,"b, 1,6, 9"
A2_9C,1,144,144,"b, 1,6, 9"
A2_9D,1,145,145,"b, 1,6, 9"
A3,1,146,146,"b, 1,6, 9"
B4,1,147,147,"1,6"
B5_1A,1,148,148,"b, 1,6, 9"
B5_1B,2,149,150,"b, 01 a 30, 99"
B5_2A,1,151,151,"b, 1,6, 9"
B5_2B,2,152,153,"b, 01 a 30, 99"
B5_3A,1,154,154,"b, 1,6, 9"
B5_3B,2,155,156,"b, 01 a 30, 99"
B5_4A,1,157,157,"b, 1,6, 9"
B5_4B,2,158,159,"b, 01 a 30, 99"
B5_5A,1,160,160,"b, 1,6, 9"
B5_5B,2,161,162,"b, 01 a 30, 99"
B5_6A,1,163,163,"b, 1,6, 9"
B5_6B,2,164,165,"b, 01 a 30, 99"
B5_7A,1,166,166,"b, 1,6, 9"
B5_7B,2,167,168,"b, 01 a 30, 99"
B5_8A,1,169,169,"b, 1,6, 9"
B5_8B,2,170,171,"b, 01 a 30, 99"
B6,1,172,172,"b, 1 a 7, 9"
B7,1,173,173,"b, 1 a 4, 9"
B8_1,1,174,174,"b, 1,0, 9"
B8_2,1,175,175,"b, 1,0, 9"
B8_3,1,176,176,"b, 1,0, 9"
B8_4,1,177,177,"b, 1,0, 9"
B8_5,1,178,178,"b, 1,0, 9"
B9,1,179,179,"1,6, 9"
B10,1,180,180,"b, 1 a 7, 9"
C11_1,1,181,181,"1,6"
C11_2,2,182,183,"b, 01 a 14, 99"
C12_1,1,184,184,"1,6, 9"
C12_2,2,185,186,"b, 01 a 14, 99"
C13_1A,1,187,187,"b, 1,0, 9"
C13_1B,1,188,188,"b, 1,0, 9"
C13_2A,1,189,189,"b, 1,0, 9"
C13_2B,1,190,190,"b, 1,0, 9"
C13_3A,1,191,191,"b, 1,0, 9"
C13_3B,1,192,192,"b, 1,0, 9"
C13_4A,1,193,193,"b, 1,0, 9"
C13_4B,1,194,194,"b, 1,0, 9"
C13_5A,1,195,195,"b, 1,0, 9"
C13_5B,1,196,196,"b, 1,0, 9"
C13_6A,1,197,197,"b, 1,0, 9"
C13_6B,1,198,198,"b, 1,0, 9"
C13_7A,1,199,199,"b, 1,0, 9"
C13_7B,1,200,200,"b, 1,0, 9"
C13_8A,1,201,201,"b, 1,0, 9"
C13_8B,1,202,202,"b, 1,0, 9"
C13_9A,1,203,203,"b, 1,0, 9"
C13_9B,1,204,204,"b, 1,0, 9"
C13_10A,1,205,205,"b, 1,0, 9"
C13_10B,1,206,206,"b, 1,0, 9"
C13_11A,1,207,207,"b, 1,0, 9"
C13_11B,1,208,208,"b, 1,0, 9"
C13_12A,1,209,209,"b, 1,0, 9"
C13_12B,1,210,210,"b, 1,0, 9"
C13_13A,1,211,211,"b, 1,0, 9"
C13_13B,1,212,212,"b, 1,0, 9"
C13_14A,1,213,213,"b, 1,0, 9"
C13_14B,1,214,214,"b, 1,0, 9"
D14_1A,1,215,215,"1,6, 9"
D14_1B,1,216,216,"1,6, 9"
D14_2A,1,217,217,"1,6, 9"
D14_2B,1,218,218,"1,6, 9"
D14_3A,1,219,219,"1,6, 9"
D14_3B,1,220,220,"1,6, 9"
D14_4A,1,221,221,"1,6, 9"
D14_4B,1,222,222,"1,6, 9"
D14_5A,1,223,223,"1,6, 9"
D14_5B,1,224,224,"1,6, 9"
D14_6A,1,225,225,"1,6, 9"
D14_6B,1,226,226,"1,6, 9"
D14_7A,1,227,227,"1,6, 9"
D14_7B,1,228,228,"1,6, 9"
D14_8A,1,229,229,"1,6, 9"
D14_8B,1,230,230,"1,6, 9"
D14_9A,1,231,231,"1,6, 9"
D14_9B,1,232,232,"1,6, 9"
D14_10A,1,233,233,"1,6, 9"
D14_10B,1,234,234,"1,6, 9"
D14_11A,1,235,235,"1,6, 9"
